,id,name,description,category,brand,price,rating
0,1,Adidas Durable Cushion,High-quality cushion from Adidas. Features durable design with excellent performance and reliability.,Home,Adidas,493.56,4.8
1,2,IKEA Comfortable Shoes,High-quality shoes from IKEA. Features comfortable design with excellent performance and reliability.,Fashion,IKEA,205.87,3.5
2,3,IKEA Professional Headphones,High-quality headphones from IKEA. Features professional design with excellent performance and reliability.,Electronics,IKEA,111.44,3.7
3,4,Dell Durable Mirror,High-quality mirror from Dell. Features durable design with excellent performance and reliability.,Home,Dell,488.53,4.2
4,5,Adidas Premium Textbook,High-quality textbook from Adidas. Features premium design with excellent performance and reliability.,Books,Adidas,334.97,3.5
5,6,Apple Durable Non-Fiction,High-quality non-fiction from Apple. Features durable design with excellent performance and reliability.,Books,Apple,73.87,3.7
6,7,Adidas Durable Headphones,High-quality headphones from Adidas. Features durable design with excellent performance and reliability.,Electronics,Adidas,453.51,4.1
7,8,IKEA Lightweight Laptop,High-quality laptop from IKEA. Features lightweight design with excellent performance and reliability.,Electronics,IKEA,436.23,3.4
8,9,Dell Premium Cushion,High-quality cushion from Dell. Features premium design with excellent performance and reliability.,Home,Dell,209.56,3.6
9,10,HP Professional Biography,High-quality biography from HP. Features professional design with excellent performance and reliability.,Books,HP,420.79,3.1
